22.1507 	EXP 	FixDot2: autoDraw = False
22.1507 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CW-3_BG-grey_stim-white.png'
22.1507 	EXP 	PresentedLine1: autoDraw = True
22.8303 	EXP 	FixDot2: autoDraw = True
22.9051 	EXP 	PresentedLine1: autoDraw = False
22.9780 	EXP 	New trial (rep=0, index=17): {'image': './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'}
23.0350 	EXP 	Vertical: autoDraw = False
23.0350 	EXP 	PresentedLine1: autoDraw = False
23.0350 	EXP 	FixDot2: autoDraw = False
23.0350 	EXP 	PresentedLine1: image = './images_eeg/Sphere_CCW-3_BG-grey_stim-white.png'
23.0617 	EXP 	PresentedLine1: autoDraw = True
23.8266 	EXP 	PresentedLine1: autoDraw = False
23.8266 	EXP 	FixDot2: autoDraw = True
24.0570 	EXP 	Vertical: autoDraw = False
24.0570 	EXP 	PresentedLine1: autoDraw = False
24.0570 	EXP 	FixDot2: autoDraw = False
24.0584 	EXP 	VDT: status = STOPPED
31.0821 	EXP 	window1: mouseVisible = True
